sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[1380s] threads: 112, tps: 1233.20, reads: 17262.32, writes: 3699.60, response time: 144.99ms (95%), errors: 0.00, reconnects:  0.00
[1390s] threads: 112, tps: 1173.00, reads: 16411.97, writes: 3517.59, response time: 161.20ms (95%), errors: 0.00, reconnects:  0.00
[1400s] threads: 112, tps: 1171.40, reads: 16409.91, writes: 3516.60, response time: 158.00ms (95%), errors: 0.00, reconnects:  0.00
[1410s] threads: 112, tps: 1090.10, reads: 15261.37, writes: 3270.09, response time: 188.07ms (95%), errors: 0.00, reconnects:  0.00
[1420s] threads: 112, tps: 1047.20, reads: 14666.03, writes: 3141.21, response time: 179.01ms (95%), errors: 0.00, reconnects:  0.00
[1430s] threads: 112, tps: 1087.70, reads: 15219.20, writes: 3262.90, response time: 166.70ms (95%), errors: 0.00, reconnects:  0.00
[1440s] threads: 112, tps: 1105.90, reads: 15482.39, writes: 3316.70, response time: 167.05ms (95%), errors: 0.00, reconnects:  0.00
[1450s] threads: 112, tps: 1142.80, reads: 16001.94, writes: 3429.41, response time: 153.85ms (95%), errors: 0.00, reconnects:  0.00
[1460s] threads: 112, tps: 1128.30, reads: 15797.66, writes: 3384.49, response time: 151.15ms (95%), errors: 0.00, reconnects:  0.00
[1470s] threads: 112, tps: 1149.00, reads: 16080.33, writes: 3445.81, response time: 156.21ms (95%), errors: 0.00, reconnects:  0.00
[1480s] threads: 112, tps: 1107.90, reads: 15515.38, writes: 3325.50, response time: 160.58ms (95%), errors: 0.00, reconnects:  0.00
[1490s] threads: 112, tps: 1154.10, reads: 16155.72, writes: 3462.71, response time: 153.16ms (95%), errors: 0.00, reconnects:  0.00
[1500s] threads: 112, tps: 1157.00, reads: 16187.54, writes: 3468.39, response time: 152.61ms (95%), errors: 0.00, reconnects:  0.00
[1510s] threads: 112, tps: 1111.20, reads: 15563.77, writes: 3336.61, response time: 164.62ms (95%), errors: 0.00, reconnects:  0.00
[1520s] threads: 112, tps: 1159.60, reads: 16237.19, writes: 3478.00, response time: 158.33ms (95%), errors: 0.00, reconnects:  0.00
[1530s] threads: 112, tps: 1167.20, reads: 16345.44, writes: 3502.01, response time: 149.80ms (95%), errors: 0.00, reconnects:  0.00
[1540s] threads: 112, tps: 1128.50, reads: 15800.04, writes: 3385.29, response time: 158.86ms (95%), errors: 0.00, reconnects:  0.00
[1550s] threads: 112, tps: 1149.00, reads: 16070.64, writes: 3446.61, response time: 156.31ms (95%), errors: 0.00, reconnects:  0.00
[1560s] threads: 112, tps: 1124.00, reads: 15751.66, writes: 3372.39, response time: 155.93ms (95%), errors: 0.00, reconnects:  0.00
[1570s] threads: 112, tps: 1172.30, reads: 16399.25, writes: 3515.11, response time: 153.76ms (95%), errors: 0.00, reconnects:  0.00
[1580s] threads: 112, tps: 1119.40, reads: 15673.19, writes: 3360.00, response time: 162.12ms (95%), errors: 0.00, reconnects:  0.00
[1590s] threads: 112, tps: 1153.10, reads: 16151.53, writes: 3457.11, response time: 155.61ms (95%), errors: 0.00, reconnects:  0.00
